k,pure greedy,0,0.05,0.1,0.15,0.2,0.25
0,0.429524,0.430476,0.429524,0.474286,0.425714,0.425714,0.442857
20,0.88,0.527619,0.527619,0.527619,0.527619,0.527619,0.527619
40,0.93619,0.651429,0.651429,0.651429,0.651429,0.651429,0.654286
60,0.969524,0.775238,0.775238,0.775238,0.775238,0.775238,0.775238
80,0.958095,0.819048,0.819048,0.819048,0.819048,0.819048,0.820952
100,0.980952,0.980952,0.980952,0.980952,0.980952,0.980952,0.980952
120,0.979048,0.979048,0.979048,0.979048,0.979048,0.979048,0.979048
140,0.982857,0.982857,0.982857,0.982857,0.982857,0.982857,0.982857
160,1,1,1,1,1,1,0.997143
180,1,1,1,1,1,1,1
200,1,1,1,1,1,1,1
